Tag_Number,Species_Co,Latin_Name,Species_1,Buil_Vinta,Azimuth,Dist_to_Bu,Sun
1020,PRSU,Prunus subhirtella,Weeping Cherry,Before 1950,90,4,Sun
1021,ACPL,Acer platanoides,Norway Maple,Before 1950,90,10,Sun
1022,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Sun
1023,ACSA4,Acer saccharum,Sugar Maple,,180,21,Sun
1066,FASY,Fagus sylvatica,European Beech,,180,21,Partial
1065,FASY,Fagus sylvatica,European Beech,,180,21,Partial
1064,FASY,Fagus sylvatica,European Beech,,180,21,Partial
1063,FASY,Fagus sylvatica,European Beech,,180,21,Partial
1062,FASY,Fagus sylvatica,European Beech,,180,21,Partial
1061,FASY,Fagus sylvatica,European Beech,,180,21,Partial
1060,FASY,Fagus sylvatica,European Beech,,180,21,Partial
1059,FASY,Fagus sylvatica,European Beech,,180,21,Partial
1058,FASY,Fagus sylvatica,European Beech,,180,21,Partial
1057,FASY,Fagus sylvatica,European Beech,,180,21,Partial
1056,FASY,Fagus sylvatica,European Beech,,180,21,Partial
1055,FASY,Fagus sylvatica,European Beech,,180,21,Partial
1054,FASY,Fagus sylvatica,European Beech,,180,21,Partial
1037,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1038,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1039,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1040,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1041,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1042,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1043,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1044,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1045,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1046,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1047,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1048,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1049,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1050,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1051,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1052,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1053,TSCA,Tsuga canadensis,Eastern Hemlock,,180,21,Partial
1036,TSCA,Tsuga canadensis,Eastern Hemlock,,360,21,Partial
1034,TSCA,Tsuga canadensis,Eastern Hemlock,,360,21,Partial
1033,TSCA,Tsuga canadensis,Eastern Hemlock,,360,21,Partial
1025,MEGL,Metasequoia glyptostroboides,Dawn Redwood,,360,21,Partial
1032,TSCA,Tsuga canadensis,Eastern Hemlock,,360,21,Partial
1031,TSCA,Tsuga canadensis,Eastern Hemlock,,360,21,Partial
1030,TSCA,Tsuga canadensis,Eastern Hemlock,,360,21,Partial
1029,TSCA,Tsuga canadensis,Eastern Hemlock,,360,21,Partial
1028,TSCA,Tsuga canadensis,Eastern Hemlock,,360,21,Partial
1027,TSCA,Tsuga canadensis,Eastern Hemlock,,360,21,Partial
1026,TSCA,Tsuga canadensis,Eastern Hemlock,,360,21,Partial
382,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
383,PRSE9,Prunus serotina,Black Cherry,Before 1950,90,15,Partial
1069,FASY,Fagus sylvatica,European Beech,,360,21,Partial
1068,FASY,Fagus sylvatica,European Beech,,360,21,Partial
1067,FASY,Fagus sylvatica,European Beech,,360,21,Partial
384,PISY,Pinus sylvestris,Scotch Pine,Before 1950,90,15,Partial
381,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,90,15,Partial
380,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
379,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
